2015-09-30 23:16:05,507 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:16:05,510 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:16:05,511 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:16:05,515 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:19:08,514 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:19:08,517 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:19:08,518 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:19:08,520 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:19:23,642 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:19:23,645 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:19:23,646 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:19:23,649 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:19:49,189 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:19:49,191 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:19:49,192 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:19:49,195 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:20:00,531 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:20:00,535 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-30 23:20:00,536 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:20:00,540 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-30 23:20:08,659 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-30 23:20:08,662 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
